act	v.表演：举动：起作用 n.行为，法令：一幕
get	v.获得，得到；使，使得：变得，成为；到达
god	n.上帝（小写god 泛指所有的“神，神像”）
gum	n.树胶；口香糖
gun	n.枪，炮，手枪
gut	n.［pl.］胆量；内脏a.本能的vt.取出内脏
guy	n.家伙，人
ham	n.火腿
hat	n.帽子（一般指有边的帽子）
hay	n.干草
hen	n.母鸡
her	hpron.［she的宾格］她；［she的所有格］她的
him	pron.他（he的宾格形式）
hip	n.臀部，髋：屋脊
his	pron.［he 的所有格／物主代词］他的（所有物）
hit	v.打，击；碰撞 n.击中；成功而风行一时的事物
hop	v.人单足跳；跳上（车等）n.蹦跳；短程飞行
hot	a.（炎）热的；辣的：急躁的：激动的：热衷的
how	ad．．（表示方法、手段、状态）怎样：如何
hug	v.／n.热烈拥抱，紧抱
hum	v.哼曲子：发嗡嗡声；忙碌 n.嗡嗡声，嘈杂声
hut	n.小屋，棚屋
ice	n.冰；冰冻甜食 vt.冰冻，使成冰
ill	a.有病的；坏的；恶意的ad.坏地；不利地
ink	n.墨水，油墨
inn	n.小旅馆，客栈
its	pron.［it的所有格］它的
jam	n.阻塞，轧住；果酱v.（使）阻塞，（使）轧住不动
jar	n.罐坛，广口瓶
jaw	n.颌，颚
jet	n.喷气发动机，喷气式飞机；喷口 v.喷出，喷射
job	n.工作，职位；零活，一件工作；任务，职责
jog	v.慢跑
joy	n.欢乐，喜悦：乐事，乐趣
jug	n.（有柄，小口，可盛水等的）大壶，罐，盂
key	n.钥匙；答案；关键；键a.主要的，关键的
kid	n.小孩，儿童v.戏弄，取笑
kin	n.家族，亲属，血缘关系a.亲属关系的，同类的
kit	n.成套工具，用具包，工具箱
lab	n.（laboratory）实验室
lad	n.男孩，小伙子
lag	v.／n.落后，滞后vt.用隔热材料覆盖（锅炉等）
lap	n.大腿，（跑道的）一圈，一段路程，工作阶段
law	n.法律，法规，法学，规律，定律
lay	v.放，搁：下（蛋）：铺设，敷设：设置，布置
leg	n.腿，腿部；支柱：（旅程的）一段，一站
let	v.让，允许，听任：设，假设：出租，租给
lid	n.盖
lie	vi.躺，平放：处于：位于v.说谎n.谎话
lip	n.嘴唇
log	n.原木，圆木；航海日志
lot	n.许多，大量；签，抽签；命运；场地
low	a.低，矮；低级的，下层的，卑贱的；低声的
mad	a.发疯的；狂热的，着迷的；恼火的，生气的
man	n.（pl.men）人：人类（单数，不加冠词）：男人
map	n.地图，图vt.在地图上标示出，绘制地图
mat	n.席子，垫子
may	aux.v.可能，也许：可以，被允许；祝，愿
May	n.五月
mix	v.使混合：混淆
mob	n.乌合之众（尤指暴力者）vi.围攻，聚众闹事
mud	n.泥，泥浆v.弄脏，使沾污泥
mug	n.（有柄的）大茶杯
nap	n.小睡，打盹
net	n.网，网状物v.用网捕，使落网 a.纯净的
new	a.新（近）的：新来的；不熟悉的；没经验的
nod	v.点（头），点头招呼 n.点头招呼；打盹，瞌睡
nor	conj.／ad.也不，也没有
not	ad.不，不是，不会：没有
now	ad.现在，如今，目前：当时，于是，然后
nut	n.坚果；螺母，螺帽
oak	n.橡树，橡木a.橡木的
oar	n.桨，橹v.划，划动，划行
odd	a.奇数的：奇怪的；单只的；临时的；带零头的
off	ad.离开；在远处：脱开 prep.从，从...离开
oil	n.油，石油v.给···加润滑油；涂油，上油
old	a.年老的：···岁的：长时间的，老的：过去的
one	num.一pron.一个（只）（表示代替可数的东西）
opt	vi.抉择，选择
ore	n.矿石，矿砂
our	pron.［we 的所有格］我们的
out	ad.出去：离家：突出来a.外面的，往外去的
owe	v.欠（债等），应向···付出，归功于，得感谢
owl	n.猫头鹰
own	a.（用在所有格后面，加强语气）自己的
pad	n.垫，衬垫；便笺簿v.加上衬垫
pan	n.平底锅，盘子，面板
pat	v.／n.轻拍，轻打，抚摸
paw	n.爪
pay	v.付款，付出代价，给予注意n.工资，薪金
pea	n.豌豆
pen	n.钢笔，圆珠笔，作家，围栏vt.写，关入栏中
per	prep.每；经，由
pet	n.爱畜，宠儿a.宠爱的，表示亲昵的
pie	n.馅饼
pig	n.猪，猪肉；猪一般的人（指肮脏，贪吃的人）
pin	n.钉；大头针，别针，徽章v.（up）钉住，别住
pit	n.坑，陷阱；煤矿，矿井
pop	a.流行的n.（发出）砰的一声v.突然出现
pot	n.罐，壶
pub	n.（英国）小酒店：小旅馆
put	vt.放，搁，置；表达：使处于...状态，记下
rag	n.抹布，破布，碎布
rap	n.叩击，轻拍，斥责v.敲，拍，打，斥责，使着迷
rat	n.鼠
raw	a.未煮过的，生的；未加工过的，未经训练的
ray	n.光线，射线
red	a.红的，红色的n.红色；红色颜料
rib	n.肋骨，肋状物
rid	v.（of）使摆脱，使去掉
rim	n.（圆物的）边，边缘；（眼镜）框
rip	v.撕，剥，劈，锯，裂开，撕裂 n.裂口，裂缝
rob	v.（of）抢劫，盗取；非法剥夺
rod	n.杆，棒
rot	v.（使）腐烂，（使）腐败，腐朽
row	n.（一）排，（一）行；吵嚷 v.划（船等），荡桨
rub	v.擦，摩擦
rug	n.（小）地毯：围毯
run	v.奔，跑：流，淌：蔓延，伸展：经营：运转
sad	a.悲哀的，忧愁的
saw	n.锯子，锯床v.锯，锯开
say	vt.说，讲：说明：比如说 vi.说，发表意见
sea	n.海，海洋，大量
see	vt.看见：会面；探望；知道，获悉：送行
set	n.一套，一副，装置，接受机v.提出，调整，日落
sew	v.缝，缝纫
sex	n.性别，性
she	pron.（主格）她
shy	a.怕羞的，腼腆的；胆怯的vi.惊退，畏缩
sin	n.罪，罪恶v.犯罪
sip	v.小口地喝，抿，呷n.一小口的量
sir	n.先生，长官：［S-用于姓名前］···爵士
sit	vi.坐，坐下；位于；栖息；孵卵vt.使就坐
six	num.六 pron.／a.六（个，只...）
ski	n.雪橇v.滑雪
sky	n.天空：［pl.］天色：气候
sly	a.狡猾的，偷偷摸摸的
sob	v.／n.哭泣，呜咽
son	n.儿子：孩子（长者对年青或年幼男子的称呼）
SOW	v.播种
spy	n.间谍v.当间谍，刺探；察觉，发现
sue	v.控告，对···提出诉讼，起诉
sum	n.总数，和；金额；算术题；要旨v.合计，总计
sun	n.太阳：恒星；美国 Sun 公司
tag	n.标签；鞋带；垂饰；vt.加标签于；附加vi.紧随
tan	n.／a.（皮肤因日晒而成）棕褐色（的）vt.晒黑
tap	n.塞子；水龙头；n.／v.轻打，轻敲；vt.开发
tar	n.柏油，焦油vt.涂或浇柏油／焦油于
tax	n.税（款），负担v.对···征税，使负重担
tea	n.茶（叶）：午后茶点
ten	num十pron.／a.十（个，只...）
the	art.这（那）个；这（那）些（指特定的人或物）
tie	n.领带：联系，关系，纽带；束缚v.扎，系，捆
tin	n.罐头：锡a.锡制的vt.镀锡于
tip	n.尖端：末端；小费n.／v.轻击；倾斜；给小费
toe	n.脚趾，足尖
ton	n.吨；（pl.）大量，许多
too	ad.也，还：太，过于：很，非常
top	n.顶，顶端：首位：顶点 a.最高的；顶上的
tow	vt.（用绳、链等）拖（车、船等）n.拖，牵引
toy	n.玩具vi.（with）漫不经心地考虑：摆弄
try	v.尝试，试图；试验，试用；审讯 n.尝试
tub	n.木盆，澡盆
tug	v.用力拖（或拉）；苦干 n.拖；苦干；拖船
two	num.二，两个n.两个（人或物）
use	n.使／应用；用法／途：益／用处 vt.用：消耗
van	n.有篷汽车；有篷货运车厢
via	prep.经；通过：凭借
war	n.战争（状态）：冲突vi.作战
wax	n.蜡，蜂蜡v.打蜡
way	n.道路，路程；方法／式，手段：习惯：状态
web	n.网，蜘蛛网
wet	a.湿的，潮湿的；有雨的，多雨的v.弄湿，沾湿
who	pron.谁，什么人：···的人：他，她，他们
why	ad.／conj.为什么：···的理由 int.咳，哎呀
win	vi.获胜，赢vt.赢得；在···中获胜 n.胜利
wit	n.智力，才智，智慧
yes	ad.是［用于肯定句前］，是的
yet	ad.还，尚，仍然：已经 conj.然而 ad.甚至
you	pron.你；你们：一个人，任何人
zip	v.（用拉链或像拉链那样）合上或打开
zoo	n.动物园
able	a.有（能力、时间、知识等）做某事，有本事的
ache	vi.痛：哀怜 n.（指连续）疼痛、酸痛
acid	n.酸，酸性物质 a.酸的，酸味的：尖刻的
acre	n.英亩；田地；地产
ally	n.同盟者，同盟国，vt.使结盟：与···有关联
also	ad.而且（也），此外（还）：同样地
amid	prep.在···中间，在···之中，被···围绕
arch	n.拱门，桥拱洞v.拱起，（使）变成弓形
area	n.面积；地区，地域：领域，范围
army	n.军队，陆军，军：大群，大批
atom	n.原子：微粒，微量
aunt	n.姨母，姑母，伯母，婶母，舅母，阿姨
auto	n.（automobile）（口语）汽车
away	ad.在远处；离开；渐渐远去；一直：去掉
axis	n.轴，轴线，中心线：坐标轴，基准线
baby	n.婴儿：年龄最小的人：小动物a.婴儿似的
back	a.后面的ad.向后v.倒退；支持n.背：后面
bait	n.饵，引诱物vt.用饵引诱；折磨，奚落
bake	v.烤，烘，焙；烧硬，焙干
bald	a.秃的，秃头的
ball	n.球（状物）；（正式的）舞会 vt.把··捏成球状
band	n.条，带；乐队；波段；一群，一伙v.缚，绑扎
bang	n.砰砰的声音：猛击v.砰地关上，猛撞，猛击
bank	n.银行：岸，堤；vi.存入（经营）银行；信赖
bare	a.赤裸的，空的；稀少的，仅有的v.露出，暴露
bark	vi.（狗等）吠，叫n.吠声，叫声：树皮
barn	n.谷仓，仓库
base	n.基础，底部；根据地v.（on）把···基于
bath	n.沐浴，洗澡；浴室（池，盆）v.（给···）洗澡
beam	n.（横）梁，桁条；（光线的）束，柱v.微笑
bean	n.豆；菜豆，蚕豆
bear	n.熊v.忍受，容忍；负担；结果实，生子女
beat	n.敲打；（心脏等）跳动v.打败；（心脏等）跳动
beef	n.牛肉
beer	n.啤酒
bell	n.钟，铃
belt	n.（皮）带，腰带；地带
bend	v.（使）弯曲；屈从，屈服n.弯曲（处），曲折处
best	a.最好的（good 和 well 最高级）ad.最好地；最
bias	n.／v.（使有）偏见，偏心，偏袒
bill	n.账单；招贴，广告；（人员，职称等的）表；钞票
bind	v.捆，绑，包括，束缚
bird	n.鸟，雀：女人；嘘声
bite	v.／n.咬，叮n.一口
blow	vi.吹，吹气，打气：吹奏；爆炸；n.打，打击
blue	a.蓝色的；青灰色的：沮丧的，阴郁的n.蓝色
blur	n.模糊不清的事物；污点vt.使模糊；玷污
boat	n.小船，艇
body	n.身体，本体；主体；尸体；物体；（一）群，批，堆
boil	v.（使）沸腾，煮（沸）
bold	a.大胆的，勇敢的；冒失的；黑体的，粗体的
bolt	n.螺栓，（门，窗的）插销v.闩（门），关窗，拴住
bomb	n.炸弹v.投弹于，轰炸
bond	n.结合（物），粘结（剂），联结；公债，债券，契约
bone	n.骨（骼）
book	n.书，书籍vt.订（票，座位，房间等），预定
boom	v.迅速发展，兴旺；发出隆隆声
boot	n.靴：（汽车后部的）行李箱：［the-］解雇
bore	v.钻（孔），挖（洞）；烦扰n.讨厌的人，麻烦事
born	a.出生的，产生的；天生的，十足的
boss	n.老板，上司vt.指挥，控制，发号施令
both	prep.两者（都），双方（都）adj.两个..（都）
bowl	n.碗（状物），钵
brim	n.边缘，帽沿
brow	n.眉（毛）；额
bulb	n.灯泡，球状物
bulk	n.体积，容积：主体，大批，大量，大块
bull	n.公牛
bump	v.（against，into）碰；颠簸着前进n.碰撞
burn	v.燃烧，烧着；烧毁；灼伤n.烧伤，灼伤
bury	v.埋（葬），安葬；埋藏，遮盖
bush	n.灌木（丛）
busy	a.忙，忙碌的：热闹的，繁忙的；（电话）占线
cafe	n.咖啡馆，（小）餐馆
cage	n.鸟笼
cake	n.饼，糕，蛋糕：扁平的块状物
call	vt.叫，喊；打电话vi.叫；访问n.叫；号召
calm	a.（天气，海洋等）静的n.平静 v.（使）平静
camp	n.野营，营地；帐篷，阵营 v.设营，宿营
cape	n.海角，岬：披肩，短披风
card	n.卡片，名片；纸牌；纸片
care	n.小心；关怀，照料 v.（about）关心，介意，计较
cart	n.（二轮货运）马车，手推车
case	n.箱，盒，容器；情况，事实；病例；案件
cash	n.现金，现款v.兑现，付（或收）现款
cast	v.投，扔，掷，抛：铸造：投票；n.演员表
cave	n.洞，穴
cell	n.细胞；小房间；蜂房；电池
cent	n.分（币）：百 per cent 百分之
chap	n.／v.（皮肤）变粗糙：发痛：n.小伙子
chat	v.／n.闲谈，聊天
chef	n.（餐馆等的）厨师长，厨师
chew	v.咀嚼；思量
chin	n.下巴，颏
chip	n.切屑，碎片；（土豆等的）薄片；集成电路块
chop	v.砍，劈，斩n.排骨，肉块
cite	v.引用，引证，举（例）
city	n.城市；都市：市
clap	v.拍手，拍，轻拍n.拍（手），掌声，霹雳声
claw	n.爪，脚爪
clay	n.粘土，泥土
clip	v.剪，修剪；钳，夹住n.夹，钳；回形针
club	n.俱乐部，夜总会；社团；棍棒，球棒
clue	n.线索，暗示
coal	n.煤，煤块
coat	n.上衣，外套；表皮；层，覆盖物v.涂（盖）上
cock	n.公鸡，雄鸡；龙头，开关
code	n.代码，代号，密码；法典，法规，规划
coil	v.卷，盘绕n.（一）卷，（一）圈；线圈，绕组
coin	n.硬币，货币v.铸造（硬币），创造（新词）
coke	n.焦炭：可口可乐（COCA-COLA）的缩写
cold	a.冷的，寒冷的：冷淡的n.冷，寒冷：伤风
comb	n.梳子v.梳（理）
come	v.来：出现于，产生：是，成为：开始，终于
cook	n.厨师 v.烹调，烧煮：纂改（账目），捏造
cool	a.凉的：冷静的n.凉快 ad.冷静地 v.使变凉
cope	v.（with）竞争，对抗；（with）对付，妥善处理
copy	n.抄本，摹本：（一）本vt.抄写；考试中抄袭
core	n.果核；中心，核心
corn	n.谷物，庄稼，玉米
cost	n.成本，费用，代价v.价值为，花费
cosy	a.暖和舒服的：舒适的［反］uncomfortable
crab	n.螃蟹，蟹肉
crew	n.全体船员，全体乘务员
crop	n.作物，庄稼；（谷类等的）一熟收成：一批，大量
crow	n.乌鸦v.／n.鸡啼，鸣叫
cube	n.立方形，立方体；立方，三次幂
curb	n.路边，场外证券市场，vt.制止，抑制
cure	v.（of）治愈，医治：矫正 n.治愈，痊愈；良药
curl	v.（使）卷曲，蜷缩 n.卷发；卷曲状；卷曲物
damn	int.该死vt.遣责：使失败 a.十足的ad.极
damp	n.潮湿 a.潮湿的vt.使潮湿；使衰减
dare	v.敢，胆敢
dark	a.黑暗的，深（色）的；隐秘的；n.无光，黑暗
dash	v.／n.冲，猛冲，突进n.破折号
data	n.（datum的复数）资料，数据
date	n.日期，年代v.注明···的日期n.／v.约会
dawn	n.黎明，拂晓v.破晓；开始现出
dead	a.死的：无生命的：死气沉沉的ad.完全地
deaf	a.聋的；不愿听的
deal	v.处理；做买卖，经营；分配；对待n.交易
dean	n.（大学）院长：主持牧师；（基督教）教长
dear	a.昂贵的：亲爱的：珍贵的 int.呵！哎呀！
debt	n.债，债务
deck	n.甲板
deed	n.行为，行动；功绩，事迹；证书；契据
deem	v.认为，相信
deep	a.深的，深长的；深奥的；强烈的 ad.深入的，迟
deer	n.鹿
defy	v.（公然）违抗，反抗；蔑视
deny	v.否认，否定：拒绝
desk	n.书桌，办公桌，服务台
dial	n.钟（表）面，刻度盘，拨号盘v.拨号，打电话
diet	n.饮食，食物
dine	v.吃饭，进餐
dirt	n.污物，污垢
disc	n.（disk）圆盘，圆面，盘状物
dish	n.碟子，盘子，菜肴
dive	v.／n.潜水，跳水，俯冲
dock	n.船坞，码头
doll	n.玩偶，玩具娃娃
dome	n.圆屋顶
doom	n.厄运，劫数v.注定，命定
door	n.门：门口，出入口：门状物；家：通道
dorm	n.（dormitory）［美］［口］宿舍
dose	n.剂量，一服，一剂v.（给···）服药
dove	n.鸽子
down	ad.下：由大到小 prep.沿着···而下 a.向下的
doze	v.／n.瞌睡；假寐
drag	v.拖，拖曳
draw	v.拉；画；汲取；引出；（to）挨近 n.平局；拖曳
drip	v.滴下，漏水n.滴，水滴，点滴
drop	n.滴；落下；微量 v.落下；下降；失落
drug	n.药物；麻醉品；毒品；滞销货v.下麻药；吸毒
drum	n.鼓；圆桶
duck	n.鸭，鸭肉v.迅速俯身；快速低头；躲避
dull	a.单调的；迟钝的，愚笨的；不锋利的
dunb	a.哑的，无言的
dump	v.倾倒，倾卸n.垃圾场
dusk	n.薄暮，黄昏
dust	n.灰尘，尘土v.拂，掸
duty	n.义务，责任；职务；税
each	a.／pron.各，各自的，每
earn	v.赚得，挣得，获得
ease	v.减轻；使舒适，使安心 n.容易；舒适，悠闲
east	n.东，东方，东部a.东方的，东部的
easy	a.容易的，不费力的，安逸的，宽裕的
echo	v.／n.回声，反响，共鸣
edge	n.边，棱；刀口，刃v.侧身移动，挤进
edit	v.编辑，校订
else	ad.其它，另外，别的；［与or连用］否则
emit	vt.发出；放射；吐露；散发；发表；发行
envy	v.／n.羡慕，忌妒
even	ad.甚至（更）a.均匀的；平的；相等的：偶数的
ever	ad.曾经：永远：在任何时候：究竟
evil	a.邪恶的，罪恶的n.邪恶，罪恶
exam	n.（examination）考试，测验
exit	n.出口，通道
face	n.脸，面貌；表情；正面v.面对着；朝，面向
fact	n.事实，实际
fade	v.褪色；衰减，消失n.淡入（出）n.乏味（平淡）的
fail	v.失败，不及格；衰退，减弱
fair	a.公平的，合理的；相当的n.集市，交易会
fake	n.假货，赝品a.假的，冒充的v.伪造：伪装
fall	v.跌倒；下降；减弱；坠落；变成，陷于n.秋季
fame	n.名声；名望：传说vt 使出名；传扬···的名
fare	n.车费，船费；伙食；乘客v.过活；进展；经营
farm	n.农场，饲养场v.种田，经营农牧业
fast	a.快的，迅速的；坚固的ad.紧紧地：迅速地
fate	n.命运
fear	n.害怕，恐惧：危险vt.畏惧，害怕，担心
feat	n.功绩，伟业，技艺
feed	v.（on，with）喂养，饲养；（with）向···供给
feel	v.触；认为vi.摸上去有···感觉：摸索；觉得
fell	v.击倒；打倒（疾病等）；砍伐a.凶猛的；可怕的
file	n.锉刀；文件，档案v.锉
fill	v.（with）填满，充满
film	n.电影：胶片；薄膜，薄层vt.把..拍成电影
find	v.（found，found）找到：发现；发觉；感到
fine	a.晴朗的，美好的，细致的v.／n.罚金，罚款
fire	n.火；火灾，失火：炉火vi.开火vt.放（枪）
firm	a.坚固的；坚决的，坚定的n.公司，商号
fish	n.（pl.fish（es））鱼；鱼肉v.捕鱼：钓鱼
fist	n.拳头vt.用拳头打：紧握
five	num.五 pron.／a.五（个，只...）
flag	n.旗
flap	n.垂下物，帽沿，袋盖n.／v.拍打，拍动
flat	a.平坦的，扁平的，平淡的n.一套房间；平面
flaw	n.裂缝；缺陷 v.使破裂；使有缺陷
flee	v.逃走；逃避
flow	v.流，流动n.流量，流速
foam	v.／n.泡沫，起泡沫
fold	v.折叠；合拢；抱住n.褶，褶痕；羊栏；信徒
folk	n.人们：民族；亲属 a.民间的
fond	a.（of）喜爱的，爱好的
food	n.食物，粮食，养料
fool	n.傻子，笨蛋vt.欺骗，愚弄vi.干蠢事
foot	n.（pl.feet）脚，足：英尺：底部
fore	ad.在前面a.先前的；在前部的n.前部
fork	n.叉，耙；叉形物；餐叉
form	n.形状，形式；表格v.组成，构成；形成
foul	a.污秽的；邪恶的v.弄脏；妨害；犯规 n.犯规
four	num.四pron.／a.四（个，只...）
free	a.自由的；免费的；免税的；空闲的vt.释放
frog	n.蛙
from	prep.从，自从：由于：离：根据，按；去除
fuel	n.燃料 vt.给···加燃料
full	a.（of）满的，充满的a.／ad.完全，充分
fume	n.（浓烈或难闻的）烟，气，汽
fund	n.资金，基金；存款，现款；（知识等的）累积
fuse	n.保险丝，导火线，引信v.熔化，熔合
fuss	n.／v.忙乱，大惊小怪
gain	v.获得；增加：表等走快n.增进，增加；收益
game	n.游戏，娱乐：比赛；（pl.）运动会vi.赌博
gang	n.一帮，一群，一伙
gaol	n.（jail）监狱：（不加冠词）监禁 vt.使···坐牢
gasp	n.喘息，气喘v.喘息；气吁吁地说
gate	n.大门：入口：观众人数，门票收入
gaze	v.／n.凝视，注视
gear	n.齿轮，传动装置v.（to）调整，使适合
gene	n.基因
germ	n.微生物，细菌
gift	n.礼品，赠品；天赋，才能
girl	n.少女，姑娘，女孩：女职员
give	v.给，授予：供给；献出，让步；捐赠：发表
glad	a.高兴的，快活的：乐意的，情愿的
glow	v.发热，发光，发红n.白热
glue	n.胶，胶水v.胶合，粘贴
goal	n目的,目标:守门员,球门:进球
goat	n.山羊
gold	n.金，黄金；金币：金黄色 a.金的，金制的
golf	n高尔夫球
good	a.好的；善良的；擅长的；乖的n.好处；利益
gown	n.长袍，特殊场合穿的长服
grab	v.／n.（at）抓（住）；夺（得）
grey	n.／a.（gray）灰色（的）
grim	a严酷的,令人害怕的;不愉快的,讨厌的
grin	n.／vi.露齿而笑，咧嘴一笑
grip	v.／n.紧握，抓紧；掌握
grow	v.生长，成长：渐渐变成：栽培，种植：发展
gulf	n.海湾
hail	v.下雹：欢呼，欢迎n.雹
hair	n.毛发，头发：绒毛，毛状物
half	n.半，一半a.一半的，不完全的ad.一半地
hall	n.礼堂，会堂，办公大楼，门厅
halt	n.止步，停步，停止前进v.止步，（使）停止
hand	n.手，人手，雇员；专门业人员：指针v.交
hang	v.悬挂，垂吊；吊死，绞死
hard	a.坚硬的：结实的：困难的；难忍的；严厉的
harm	n.／v.伤害，损害，危害
hate	v.恨，憎恨：不愿，不喜欢n.恨，憎恶
haul	v.拖曳，拖运，用力拖
have	v.有，具有：体会，经受；从事：使：吃，喝
hawk	n.鹰，隼
head	n.头：顶部：领导，首脑 v.主管：位于..顶部
heal	v.治愈，愈合
heap	n.（一）堆，大量，许多v.（up）堆，堆起
hear	v.听见：审讯：（from）收到..的信／电话；听说
heat	n.热，热度；热烈，激烈v.（给）加热，（使）变热
heel	n.脚后跟，踵，鞋跟
heir	n.继承人
hell	n.地狱，阴间；苦境，极大痛苦
help	v.帮（援）助；有助于：［呼救］救命n.帮助（手）
herb	n.药草，（调味用的）香草，草本植物
herd	n.群，兽群，牛群v.放牧，群集
here	ad.在（到，向）这里；这时；在这一点上
hero	n.英雄，勇士：男主角，男主人公
hers	pron.［she的物主代词］她的（所有物）
hide	v.隐藏，躲藏；隐瞒 n.皮革，兽皮
high	a.高的，高度的，高级的，高尚的ad.高高地
hike	n.徒步旅行；增加vi.徒步旅行vt.提高
hill	n.小山，山岗，高地；［pl.］丘陵（地带）
hint	n.暗示，提示，线索v.暗示，示意
hire	n.／v.雇用，租借
hold	v.拿着；保有；托住；举行；继续n.握住；船舱
hole	n.洞，孔
holy	a.神圣的，圣洁的
home	ad.回家，在家n.家：家乡 a.家庭的；家乡的
hook	n.钩，吊钩，钩状物v.钩住
hope	n.希望，期望：希望的人或事v.希望，期望
horn	n.（牛羊等的）角：号，喇叭；角状物；角制品
hose	n.水龙带，软管v.用软管（淋浇，冲洗）
host	n.主人；旅店老板；节目主持人；一大群，许多
hour	n.小时，钟点；时刻；课时，工作时间
howl	n.怒吼，嗥叫 vi.（风等）怒吼，咆哮
huge	a.巨大的，庞大的
hunt	v.／n.打猎，猎取；（for）搜索；寻找
hurl	vt.猛投，力掷：大声叫骂
hurt	n.伤痛，伤害v.刺痛，伤害；伤···的感情
idea	n.想法，念头：概念，观念：意见，主意
idle	a.空闲的，闲置的；懒散的v.空费，虚度
inch	n.英寸
into	prep.到...里面，进入：成为（表示变化）
iron	n.铁，铁制品，烙铁，熨斗v.熨（衣），熨平
isle	n.小岛（用于诗歌中）
